Category ID	Category Name	Description	Parent ID	Parent Name	Default Location ID	Keywords	Category Path	Parts	structural
1129	Water Fountains and Refilling Stations		2097	Office Equipment	1		Industrial Supplies/Office Equipment/Water Fountains and Refilling Stations	0	0
2098	Office Furniture		49	Industrial Supplies	1		Industrial Supplies/Office Furniture	0	0
1131	Partitions and Accessories		2098	Office Furniture	1		Industrial Supplies/Office Furniture/Partitions and Accessories	0	0
1132	Safes, Secure Storage		2098	Office Furniture	1		Industrial Supplies/Office Furniture/Safes, Secure Storage	0	0
1133	Tables		2098	Office Furniture	1		Industrial Supplies/Office Furniture/Tables	0	0
2099	Outdoor Products		49	Industrial Supplies	1		Industrial Supplies/Outdoor Products	0	0
1134	Bikes, Racks and Locks		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Bikes, Racks and Locks	0	0
1135	Canopies, Shelters and Sheds		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Canopies, Shelters and Sheds	0	0
1144	Cans, Trash Cans and Covers		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Cans, Trash Cans and Covers	0	0
1136	Cold Weather Products, Clothing		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Cold Weather Products, Clothing	0	0
1137	Decor		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Decor	0	0
1138	Lawn Tools		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Lawn Tools	0	0
1139	Miscellaneous		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Miscellaneous	0	0
1140	Mowers, Vacuums, Blowers and Cutters		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Mowers, Vacuums, Blowers and Cutters	0	0
1141	Outdoor Furniture		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Outdoor Furniture	0	0
1142	Parking Lot and Safety		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Parking Lot and Safety	0	0
1143	Snow and Ice Removal		2099	Outdoor Products	1		Industrial Supplies/Outdoor Products/Snow and Ice Removal	0	0
2100	Product, Material Handling and Storage		49	Industrial Supplies	1		Industrial Supplies/Product, Material Handling and Storage	0	0
1145	Building/Construction Products		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Building/Construction Products	0	0
1089	Dollies		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Dollies	0	0
1090	Drum Accessories		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Drum Accessories	0	0
1091	Drum Cradles, Lifts, Trucks		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Drum Cradles, Lifts, Trucks	0	0
1092	Drum Pumps		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Drum Pumps	0	0
1093	Drums, Pails		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Drums, Pails	0	0
1146	Pallets		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Pallets	0	0
1148	Rack, Shelving, Stand Accessories		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Rack, Shelving, Stand Accessories	0	0
1147	Racks, Shelving, Stands		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Racks, Shelving, Stands	0	0
1149	Storage Containers and Bins		2100	Product, Material Handling and Storage	1		Industrial Supplies/Product, Material Handling and Storage/Storage Containers and Bins	0	0
2101	Safety		49	Industrial Supplies	1		Industrial Supplies/Safety	0	0
1094	Absorbents, Trays and Cleaners		2101	Safety	1		Industrial Supplies/Safety/Absorbents, Trays and Cleaners	0	0
1095	Exit Signs and Emergency Lights		2101	Safety	1		Industrial Supplies/Safety/Exit Signs and Emergency Lights	0	0
1150	Fuel, Oil and General Purpose Cans		2101	Safety	1		Industrial Supplies/Safety/Fuel, Oil and General Purpose Cans	0	0
1151	Shipping and Packaging Products		49	Industrial Supplies	1		Industrial Supplies/Shipping and Packaging Products	0	0
2103	Storage Containers & Bins		49	Industrial Supplies	1		Industrial Supplies/Storage Containers & Bins	0	0
1152	Garage Storage and Organization		2103	Storage Containers & Bins	1		Industrial Supplies/Storage Containers & Bins/Garage Storage and Organization	0	0
1153	Vehicle Maintenance and Customization Products		49	Industrial Supplies	1		Industrial Supplies/Vehicle Maintenance and Customization Products	0	0
2104	Workstation, Office Furniture and Equipment		49	Industrial Supplies	1		Industrial Supplies/Workstation, Office Furniture and Equipment	0	0
1116	Carts and Stands		2104	Workstation, Office Furniture and Equipment	1		Industrial Supplies/Workstation, Office Furniture and Equipment/Carts and Stands	0	0
1117	Chairs and Stools		2104	Workstation, Office Furniture and Equipment	1		Industrial Supplies/Workstation, Office Furniture and Equipment/Chairs and Stools	0	0
1118	Computer Workstations		2104	Workstation, Office Furniture and Equipment	1		Industrial Supplies/Workstation, Office Furniture and Equipment/Computer Workstations	0	0
1154	Hazardous Material, Safety Cabinets		2104	Workstation, Office Furniture and Equipment	1		Industrial Supplies/Workstation, Office Furniture and Equipment/Hazardous Material, Safety Cabinets	0	0
1087	Lockers, Storage Cabinets and Accessories		2104	Workstation, Office Furniture and Equipment	1		Industrial Supplies/Workstation, Office Furniture and Equipment/Lockers, Storage Cabinets and Accessories	0	0
1088	Turntables		2104	Workstation, Office Furniture and Equipment	1		Industrial Supplies/Workstation, Office Furniture and Equipment/Turntables	0	0
32	Integrated Circuits (ICs)				1		Integrated Circuits (ICs)	0	0
2006	Clock/Timing		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Clock/Timing	0	0
763	Application Specific Clock/Timing		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/Application Specific Clock/Timing	0	0
764	Clock Buffers, Drivers		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/Clock Buffers, Drivers	0	0
728	Clock Generators, PLLs, Frequency Synthesizers		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/Clock Generators, PLLs, Frequency Synthesizers	0	0
688	Delay Lines		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/Delay Lines	0	0
762	IC Batteries		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/IC Batteries	0	0
689	Programmable Timers and Oscillators		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/Programmable Timers and Oscillators	0	0
690	Real Time Clocks		2006	Clock/Timing	1		Integrated Circuits (ICs)/Clock/Timing/Real Time Clocks	0	0
2009	Data Acquisition		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Data Acquisition	0	0
768	ADCs/DACs - Special Purpose		2009	Data Acquisition	1		Integrated Circuits (ICs)/Data Acquisition/ADCs/DACs - Special Purpose	0	0
724	Analog Front End (AFE)		2009	Data Acquisition	1		Integrated Circuits (ICs)/Data Acquisition/Analog Front End (AFE)	0	0
700	Analog to Digital Converters (ADC)		2009	Data Acquisition	1		Integrated Circuits (ICs)/Data Acquisition/Analog to Digital Converters (ADC)	0	0
717	Digital Potentiometers		2009	Data Acquisition	1		Integrated Circuits (ICs)/Data Acquisition/Digital Potentiometers	0	0
701	Digital to Analog Converters (DAC)		2009	Data Acquisition	1		Integrated Circuits (ICs)/Data Acquisition/Digital to Analog Converters (DAC)	0	0
775	Touch Screen Controllers		2009	Data Acquisition	1		Integrated Circuits (ICs)/Data Acquisition/Touch Screen Controllers	0	0
2012	Embedded		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Embedded	0	0
769	Application Specific Microcontrollers		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/Application Specific Microcontrollers	0	0
695	CPLDs (Complex Programmable Logic Devices)		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/CPLDs (Complex Programmable Logic Devices)	0	0
698	DSP (Digital Signal Processors)		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/DSP (Digital Signal Processors)	0	0
696	FPGAs (Field Programmable Gate Array)		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/FPGAs (Field Programmable Gate Array)	0	0
767	FPGAs (Field Programmable Gate Array) with Microcontrollers		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/FPGAs (Field Programmable Gate Array) with Microcontrollers	0	0
685	Microcontrollers		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/Microcontrollers	0	0
721	Microcontrollers, Microprocessor, FPGA Modules		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/Microcontrollers, Microprocessor, FPGA Modules	0	0
694	Microprocessors		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/Microprocessors	0	0
719	PLDs (Programmable Logic Device)		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/PLDs (Programmable Logic Device)	0	0
777	System On Chip (SoC)		2012	Embedded	1		Integrated Circuits (ICs)/Embedded/System On Chip (SoC)	0	0
2016	Interface		32	Integrated Circuits (ICs)	1		Integrated Circuits (ICs)/Interface	0	0
747	Analog Switches, Multiplexers, Demultiplexers		2016	Interface	1		Integrated Circuits (ICs)/Interface/Analog Switches, Multiplexers, Demultiplexers	0	0
780	Analog Switches - Special Purpose		2016	Interface	1		Integrated Circuits (ICs)/Interface/Analog Switches - Special Purpose	0	0
716	CODECS		2016	Interface	1		Integrated Circuits (ICs)/Interface/CODECS	0	0
753	Controllers		2016	Interface	1		Integrated Circuits (ICs)/Interface/Controllers	0	0
723	Direct Digital Synthesis (DDS)		2016	Interface	1		Integrated Circuits (ICs)/Interface/Direct Digital Synthesis (DDS)	0	0
710	Drivers, Receivers, Transceivers		2016	Interface	1		Integrated Circuits (ICs)/Interface/Drivers, Receivers, Transceivers	0	0
